route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
10,3,10_18600_3_1_1,GUSTERITA - TABACARIE,0,10.0.304_tabacarie
10,4,10_18900_4_1_1,GUSTERITA - TABACARIE,0,10.0.304_tabacarie
10,5,10_18900_5_1_1,GUSTERITA - TABACARIE,0,10.0.304_tabacarie
10,3,10_19200_3_0_4,TURNISOR,1,10.1.199_10
10,4,10_19200_4_0_2,TURNISOR,1,10.1.199_10
10,5,10_19200_5_0_2,TURNISOR,1,10.1.199_10
10,3,10_19500_3_1_2,GUSTERITA,0,10.0.198_10
10,3,10_20100_3_1_3,GUSTERITA,0,10.0.316_Bosch
10,3,10_21000_3_0_1,TURNISOR,1,10.1.302_tabacarie
10,3,10_21000_3_1_5,GUSTERITA - SCANDIA,0,10.0.303_scandia
10,4,10_21000_4_0_1,TURNISOR,1,10.1.302_tabacarie
10,5,10_21000_5_0_1,TURNISOR,1,10.1.302_tabacarie
10,4,10_21480_4_1_2,GUSTERITA - TABACARIE,0,10.0.304_tabacarie
10,5,10_21480_5_1_2,GUSTERITA - TABACARIE,0,10.0.304_tabacarie
10,3,10_21600_3_1_4,GUSTERITA - SCANDIA,0,10.0.303_scandia
10,3,10_22320_3_0_2,TURNISOR,1,10.1.199_10
10,3,10_23100_3_1_1,GUSTERITA - TABACARIE,0,10.0.304_tabacarie
10,4,10_23100_4_1_1,GUSTERITA - SCANDIA,0,10.0.303_scandia
10,5,10_23100_5_1_1,GUSTERITA - SCANDIA,0,10.0.303_scandia
10,4,10_23760_4_0_2,TURNISOR,1,10.1.302_tabacarie
10,5,10_23760_5_0_2,TURNISOR,1,10.1.302_tabacarie
10,3,10_24000_3_0_4,TURNISOR,1,10.1.300_scandia
10,3,10_24600_3_1_2,GUSTERITA,0,10.0.198_10
10,4,10_25500_4_0_1,TURNISOR,1,10.1.300_scandia
10,5,10_25500_5_0_1,TURNISOR,1,10.1.300_scandia
10,4,10_25560_4_1_2,GUSTERITA,0,10.0.198_10
10,5,10_25560_5_1_2,GUSTERITA,0,10.0.198_10
10,3,10_25800_3_0_1,TURNISOR,1,10.1.302_tabacarie
10,3,10_26100_3_1_4,GUSTERITA,0,10.0.198_10
10,3,10_26400_3_0_2,TURNISOR,1,10.1.199_10
10,3,10_27000_3_0_3,TURNISOR,1,10.1.199_10
10,3,10_27840_3_1_1,GUSTERITA,0,10.0.198_10
10,3,10_28200_3_0_4,TURNISOR,1,10.1.199_10
10,4,10_28200_4_0_2,TURNISOR,1,10.1.199_10
10,4,10_28200_4_1_1,GUSTERITA,0,10.0.198_10
10,5,10_28200_5_0_2,TURNISOR,1,10.1.199_10
10,5,10_28200_5_1_1,GUSTERITA,0,10.0.198_10
10,3,10_28800_3_1_2,GUSTERITA,0,10.0.198_10
10,3,10_29100_3_0_5,TURNISOR,1,10.1.199_10
10,3,10_29820_3_1_3,GUSTERITA,0,10.0.198_10
10,3,10_30180_3_0_1,TURNISOR,1,10.1.199_10
10,3,10_30780_3_1_4,GUSTERITA,0,10.0.198_10
10,4,10_31200_4_0_1,TURNISOR,1,10.1.199_10
10,4,10_31200_4_1_2,GUSTERITA,0,10.0.198_10
10,5,10_31200_5_0_1,TURNISOR,1,10.1.199_10
10,5,10_31200_5_1_2,GUSTERITA,0,10.0.198_10
10,3,10_31260_3_0_2,TURNISOR,1,10.1.199_10
10,3,10_31800_3_1_5,GUSTERITA,0,10.0.198_10
10,3,10_32340_3_0_3,TURNISOR,1,10.1.199_10
